Payer,Category,Phone,Notes
BCBS TX,Insurance,1-800-451-0287,
BCBS TX (ZGD),Insurance,1-877-774-8592,
BCBS (UTS),Insurance,1-800-451-0287,
Horizon BCBS of NJ,Insurance,1-800-624-1110,
"Horizon BCBS of NJ (HFW, KBH, ZJC, RFW, NTW, IBB)",Insurance,1-888-456-7910,
Horizon BCBS of NJ (NJT),Insurance,1-888-666-2535,
Horizon BCBS of NJ (NJX),Insurance,1-800-624-4758,
Horizon BCBS of NJ (WYE),Insurance,1-888-340-5001,
BCBS of NJ,Insurance,1-877-299-6682,
BCBS of NC (CGQ-W),Insurance,1-877-275-9787,
Anthem BCBS OF OH,Insurance,1-877-434-2734,
BCBS TX(R Prefix) ,Insurance,1-800-442-4607,
BCBS TN (R-Prefix),Insurance,1-800-572-1003,
BCBS TN (ZXS),Insurance,1-800-924-7141,
BCBS CA (R-Prefix),Insurance,1-800-824-8839,
BCBS DE (R-Prefix),Insurance,1-866-763-3608,
BCBS TN (TennCare Policy) - ZEC,Insurance,1-800-276-1978,
BCBS OF GA SJN ,Insurance,1-855-641-4862,
BCBS OH(Anthem) ,Insurance,1-866-418-7749,
BCBS OH(Anthem) ,Insurance,1-888-290-9160,
Anthem (OHP),Insurance,1-800-599-6903,
Anthem (WFQ),Insurance,1-866-418-7749,
Anthem (DZV),Insurance,1-800-875-6139,
Anthem (TUR),Insurance,1-800-518-1638,
BCBS (ANT Anthem),Insurance,1-855-698-5676,
BCBS (LGO Anthem),Insurance,1-877-344-2942,
BCBS (Tenesse),Insurance,1-800-924-7141,
BCBS Of TN (MTR),Insurance,1-800-367-7790,
BCBS Of TN (Medicare Advantage),Insurance,1-800-841-7434,
BCBS of Massachusetts,Insurance,1-800-882-2060,
BCBS (Blue Card),Insurance,1-800-676-2583,
BCBS of Virginia,Insurance,1-855-205-7691,
BCBS of Nabraska,Insurance,1-800-635-0579,
BCBS Premera Washington,Insurance,1-877-995-2696,
BCBS of Minnesota,Insurance,1-800-262-0820,
BCBS of Michigan,Insurance,1-800-344-8525,
BCBS of Michigan (XYK),Insurance,1-800-255-1690,
BCBS of Michigan (XYL),Insurance,1-800-637-2227,
BCBS of FL (XJF),Insurance,1-800-727-2227,
BCBS (SC),Insurance,1-800-444-4311,
BCBS of SC (ZCS),Insurance,1-800-868-2520,
BCBS of SC (ZCJ),Insurance,1-800-868-2528,
BCBS of SC Blue Choice SC,Insurance,1-803-786-8466,
BCBS of SC (BSU),Insurance,1-800-261-8582,
BCBS of SC (NPC),Insurance,1-800-261-8582,
